RefDes,Value,Package,Mid X (mm),Mid Y (mm),Rotation,Side
U1,SN74LVC8T245PW,TSSOP24,46.300,15.300,0,top
C1,0.1uF,0603,49.300,9.300,0,top
C2,0.1uF,0603,43.300,9.300,0,top
U2,SN74LVC8T245PW,TSSOP24,78.800,58.500,0,top
C3,0.1uF,0603,81.800,52.500,0,top
C4,0.1uF,0603,75.800,52.500,0,top
U3,SN74LVC8T245PW,TSSOP24,68.600,16.200,0,top
C5,0.1uF,0603,71.600,10.200,0,top
C6,0.1uF,0603,65.600,10.200,0,top
U4,SN74LVC8T245PW,TSSOP24,94.400,58.600,0,top
C7,0.1uF,0603,97.400,52.600,0,top
C8,0.1uF,0603,91.400,52.600,0,top
U5,SN74LVC8T245PW,TSSOP24,89.800,15.200,0,top
C9,0.1uF,0603,92.800,9.200,0,top
C10,0.1uF,0603,86.800,9.200,0,top
U6,SN74LVC8T245PW,TSSOP24,126.600,31.700,0,top
C11,0.1uF,0603,129.600,25.700,0,top
C12,0.1uF,0603,123.600,25.700,0,top
U7,SN74LVC8T245PW,TSSOP24,127.200,68.600,0,top
C13,0.1uF,0603,130.200,62.600,0,top
C14,0.1uF,0603,124.200,62.600,0,top
U8,SN74LVC8T245PW,TSSOP24,126.500,43.500,0,top
C15,0.1uF,0603,129.500,37.500,0,top
C16,0.1uF,0603,123.500,37.500,0,top
U9,SN74LVC8T245PW,TSSOP24,126.700,55.200,0,top
C17,0.1uF,0603,129.700,49.200,0,top
C18,0.1uF,0603,123.700,49.200,0,top
C19,0.1uF,0603,10.000,80.000,0,top
C20,0.1uF,0603,25.000,80.000,0,top
C21,0.1uF,0603,40.000,80.000,0,top
C22,0.1uF,0603,55.000,80.000,0,top
C23,0.1uF,0603,70.000,80.000,0,top
C24,0.1uF,0603,85.000,80.000,0,top
C25,0.1uF,0603,100.000,80.000,0,top
C26,0.1uF,0603,115.000,80.000,0,top
C27,0.1uF,0603,130.000,80.000,0,top
R1,10K,0603,51.300,20.300,0,top
R2,10K,0603,83.800,63.500,0,top
R3,10K,0603,73.600,11.200,0,top
R4,10K,0603,99.400,63.600,0,top
R5,10K,0603,94.800,20.200,0,top
R6,10K,0603,131.600,36.700,0,top
R7,10K,0603,132.200,73.600,0,top
R8,10K,0603,131.500,48.500,0,top
R9,10K,0603,131.700,60.200,0,top
